Player,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PTS,Player,Pos,STL,Season,TOV,TRB,Tm,eFG%
Thabo Sefolosha,36,.429,84,31,.437,71,47,27,17,107,67,.432,155,38,.884,43,42,42,NBA,914,21,78,203,Thabo Sefolosha,SG,37,2011-12,40,128,OKC,.532
Thabo Sefolosha,116,.558,208,108,.419,258,125,28,44,259,224,.481,466,57,.826,69,81,81,NBA,2229,58,177,613,Thabo Sefolosha,SG,103,2012-13,64,317,OKC,.597
Thabo Sefolosha,93,.495,188,48,.316,152,94,29,17,170,141,.415,340,53,.768,69,61,61,NBA,1584,50,90,383,Thabo Sefolosha,SG,79,2013-14,55,220,OKC,.485
Thabo Sefolosha,79,.462,171,25,.321,78,75,30,21,170,104,.418,249,45,.776,58,52,7,NBA,976,53,67,278,Thabo Sefolosha,SF,53,2014-15,38,223,ATL,.468
Thabo Sefolosha,42,.592,71,14,.389,36,26,31,13,77,56,.523,107,11,.579,19,18,7,NBA,452,15,25,137,Thabo Sefolosha,SF,30,2015-16,20,92,ATL,.589
Kevin Seraphin,66,.449,147,0,NA,0,10,21,28,72,66,.449,147,22,.710,31,58,1,NBA,635,80,126,154,Kevin Seraphin,PF,17,2010-11,42,152,WAS,.449
Kevin Seraphin,203,.533,381,0,.000,1,33,22,76,177,203,.531,382,47,.671,70,57,21,NBA,1176,103,133,453,Kevin Seraphin,C,19,2011-12,66,280,WAS,.531
Kevin Seraphin,330,.461,716,0,NA,0,57,23,59,239,330,.461,716,61,.693,88,79,8,NBA,1721,107,211,721,Kevin Seraphin,C,24,2012-13,130,346,WAS,.461
Kevin Seraphin,111,.505,220,0,NA,0,17,24,26,75,111,.505,220,27,.871,31,53,1,NBA,578,53,103,249,Kevin Seraphin,C,3,2013-14,41,128,WAS,.505
Kevin Seraphin,231,.516,448,0,.000,2,59,25,59,201,231,.513,450,58,.707,82,79,0,NBA,1235,87,197,520,Kevin Seraphin,C,10,2014-15,98,288,WAS,.513
Kevin Seraphin,36,.414,87,0,NA,0,25,26,15,33,36,.414,87,10,.833,12,18,0,NBA,222,14,29,82,Kevin Seraphin,C,5,2015-16,21,47,NYK,.414
Ramon Sessions,48,.436,110,3,.429,7,127,21,3,50,51,.436,117,32,.780,41,17,7,NBA,450,8,26,137,Ramon Sessions,PG,17,2007-08,36,58,MIL,.449
Ramon Sessions,339,.457,741,6,.176,34,452,22,7,205,345,.445,775,281,.794,354,79,39,NBA,2173,64,158,977,Ramon Sessions,PG,83,2008-09,152,269,MIL,.449
Ramon Sessions,252,.467,540,1,.067,15,258,23,5,156,253,.456,555,167,.717,233,82,1,NBA,1732,58,137,674,Ramon Sessions,PG,55,2009-10,137,214,MIN,.457
Ramon Sessions,359,.472,761,3,.200,15,419,24,8,209,362,.466,776,348,.823,423,81,38,NBA,2133,46,93,1075,Ramon Sessions,PG,60,2010-11,178,255,CLE,.468
Ramon Sessions,199,.425,468,43,.443,97,354,25,3,181,242,.428,565,194,.782,248,64,23,NBA,1707,33,100,721,Ramon Sessions,PG,44,2011-12,141,214,TOT,.466
Ramon Sessions,115,.394,292,26,.419,62,212,25,1,108,141,.398,354,122,.830,147,41,4,NBA,1006,19,63,430,Ramon Sessions,PG,27,2011-12,82,127,CLE,.435
Ramon Sessions,84,.477,176,17,.486,35,142,25,2,73,101,.479,211,72,.713,101,23,19,NBA,701,14,37,291,Ramon Sessions,PG,17,2011-12,59,87,LAL,.519
Ramon Sessions,243,.427,569,33,.308,107,230,26,7,142,276,.408,676,291,.839,347,61,0,NBA,1652,27,91,876,Ramon Sessions,SG,48,2012-13,104,169,CHA,.433
Ramon Sessions,295,.457,645,35,.282,124,340,27,9,165,330,.429,769,326,.807,404,83,19,NBA,2214,38,90,1021,Ramon Sessions,PG,49,2013-14,148,203,TOT,.452
Ramon Sessions,175,.441,397,15,.221,68,206,27,6,95,190,.409,465,183,.782,234,55,7,NBA,1305,22,50,578,Ramon Sessions,PG,33,2013-14,93,117,CHA,.425
Ramon Sessions,120,.484,248,20,.357,56,134,27,3,70,140,.461,304,143,.841,170,28,12,NBA,909,16,40,443,Ramon Sessions,PG,16,2013-14,55,86,MIL,.493
