Player,Player,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PTS,Player.1_x,Pos,STL,Season,TOV,TRB,Tm,eFG%,Player.1_y,Salary
Andre Drummond,Andre Drummond,479,.625,767,0,.000,2,35.0,20.0,131.0,631.0,479,.623,769,137.0,0.418,328.0,81,81,NBA,2619,440.0,273.0,1095.0,Andre Drummond,C,101.0,2013-14,110.0,1071.0,DET,0.623,Andre Drummond,2462400
Andre Drummond,Andre Drummond,494,.515,959,0,.000,2,55.0,21.0,153.0,667.0,494,.514,961,142.0,0.389,365.0,82,82,NBA,2502,437.0,285.0,1130.0,Andre Drummond,C,73.0,2014-15,120.0,1104.0,DET,0.514,Andre Drummond,2568360
Jared Dudley,Jared Dudley,154,.502,307,9,.220,41,81.0,22.0,10.0,165.0,163,.468,348,87.0,0.737,118.0,73,14,NBA,1384,121.0,128.0,422.0,Jared Dudley,PF,55.0,2007-08,50.0,286.0,CHA,0.481,Jared Dudley,1137000
Jared Dudley,Jared Dudley,107,.507,211,29,.392,74,56.0,23.0,8.0,123.0,136,.477,285,71.0,0.676,105.0,68,7,NBA,1155,82.0,105.0,372.0,Jared Dudley,SF,57.0,2008-09,43.0,205.0,TOT,0.528,Jared Dudley,1222320
Jared Dudley,Jared Dudley,42,.477,88,3,.375,8,19.0,23.0,2.0,34.0,45,.469,96,15.0,0.625,24.0,20,7,NBA,427,25.0,40.0,108.0,Jared Dudley,SF,18.0,2008-09,10.0,59.0,CHA,0.484,Jared Dudley,1222320
Jared Dudley,Jared Dudley,65,.528,123,26,.394,66,37.0,23.0,6.0,89.0,91,.481,189,56.0,0.691,81.0,48,0,NBA,728,57.0,65.0,264.0,Jared Dudley,SF,39.0,2008-09,33.0,146.0,PHO,0.55,Jared Dudley,1222320
Jared Dudley,Jared Dudley,105,.461,228,120,.458,262,115.0,24.0,16.0,182.0,225,.459,490,104.0,0.754,138.0,82,1,NBA,1991,99.0,162.0,674.0,Jared Dudley,SF,81.0,2009-10,68.0,281.0,PHO,0.582,Jared Dudley,1307640
Jared Dudley,Jared Dudley,195,.519,376,105,.415,253,108.0,25.0,20.0,207.0,300,.477,629,162.0,0.743,218.0,82,15,NBA,2140,111.0,139.0,867.0,Jared Dudley,SF,87.0,2010-11,77.0,318.0,PHO,0.56,Jared Dudley,2151068
Jared Dudley,Jared Dudley,232,.535,434,80,.383,209,112.0,26.0,19.0,206.0,312,.485,643,119.0,0.726,164.0,65,60,NBA,2020,95.0,107.0,823.0,Jared Dudley,SG,49.0,2011-12,72.0,301.0,PHO,0.547,Jared Dudley,4250000
Jared Dudley,Jared Dudley,207,.520,398,106,.391,271,203.0,27.0,8.0,166.0,313,.468,669,129.0,0.796,162.0,79,50,NBA,2170,79.0,128.0,861.0,Jared Dudley,SF,75.0,2012-13,101.0,245.0,PHO,0.547,Jared Dudley,4250000
Jared Dudley,Jared Dudley,115,.518,222,81,.360,225,104.0,28.0,10.0,124.0,196,.438,447,38.0,0.655,58.0,74,43,NBA,1729,36.0,146.0,511.0,Jared Dudley,SF,41.0,2013-14,56.0,160.0,LAC,0.529,Jared Dudley,4250000
Jared Dudley,Jared Dudley,124,.537,231,74,.385,192,130.0,29.0,11.0,175.0,198,.468,423,48.0,0.716,67.0,72,22,NBA,1717,45.0,113.0,518.0,Jared Dudley,SG,72.0,2014-15,62.0,220.0,MIL,0.556,Jared Dudley,4250000
Tim Duncan,Tim Duncan,706,.553,1277,0,.000,10,224.0,21.0,206.0,703.0,706,.549,1287,319.0,0.662,482.0,82,82,NBA,3204,274.0,254.0,1731.0,Tim Duncan,PF,55.0,1997-98,279.0,977.0,SAS,0.549,Tim Duncan,2967840
Tim Duncan,Tim Duncan,417,.498,838,1,.143,7,121.0,22.0,126.0,412.0,418,.495,845,247.0,0.69,358.0,50,50,NBA,1963,159.0,147.0,1084.0,Tim Duncan,PF,45.0,1998-99,146.0,571.0,SAS,0.495,Tim Duncan,3413000
Tim Duncan,Tim Duncan,627,.494,1270,1,.091,11,234.0,23.0,165.0,656.0,628,.490,1281,459.0,0.761,603.0,74,74,NBA,2875,262.0,210.0,1716.0,Tim Duncan,PF,66.0,1999-00,242.0,918.0,SAS,0.491,Tim Duncan,3858240
Tim Duncan,Tim Duncan,695,.504,1379,7,.259,27,245.0,24.0,192.0,738.0,702,.499,1406,409.0,0.618,662.0,82,82,NBA,3174,259.0,247.0,1820.0,Tim Duncan,PF,70.0,2000-01,242.0,997.0,SAS,0.502,Tim Duncan,9660000
Tim Duncan,Tim Duncan,763,.511,1494,1,.100,10,307.0,25.0,203.0,774.0,764,.508,1504,560.0,0.799,701.0,82,82,NBA,3329,268.0,217.0,2089.0,Tim Duncan,PF,61.0,2001-02,263.0,1042.0,SAS,0.508,Tim Duncan,10865250
Tim Duncan,Tim Duncan,708,.517,1370,6,.273,22,316.0,26.0,237.0,784.0,714,.513,1392,450.0,0.71,634.0,81,81,NBA,3181,259.0,231.0,1884.0,Tim Duncan,PF,55.0,2002-03,248.0,1043.0,SAS,0.515,Tim Duncan,12072500
Tim Duncan,Tim Duncan,590,.505,1169,2,.167,12,213.0,27.0,185.0,632.0,592,.501,1181,352.0,0.599,588.0,69,68,NBA,2527,227.0,164.0,1538.0,Tim Duncan,PF,62.0,2003-04,183.0,859.0,SAS,0.502,Tim Duncan,12676125
Tim Duncan,Tim Duncan,514,.498,1033,3,.333,9,179.0,28.0,174.0,530.0,517,.496,1042,305.0,0.67,455.0,66,66,NBA,2203,202.0,144.0,1342.0,Tim Duncan,PF,45.0,2004-05,127.0,732.0,SAS,0.498,Tim Duncan,14260641
Tim Duncan,Tim Duncan,572,.485,1180,2,.400,5,253.0,29.0,162.0,650.0,574,.484,1185,335.0,0.629,533.0,80,80,NBA,2784,231.0,219.0,1485.0,Tim Duncan,PF,70.0,2005-06,198.0,881.0,SAS,0.485,Tim Duncan,15845156
Tim Duncan,Tim Duncan,617,.550,1122,1,.111,9,273.0,30.0,190.0,633.0,618,.546,1131,362.0,0.637,568.0,80,80,NBA,2726,213.0,203.0,1599.0,Tim Duncan,C,66.0,2006-07,224.0,846.0,SAS,0.547,Tim Duncan,17429672
Tim Duncan,Tim Duncan,585,.498,1174,0,.000,4,218.0,31.0,152.0,644.0,585,.497,1178,338.0,0.73,463.0,78,78,NBA,2651,237.0,185.0,1508.0,Tim Duncan,C,56.0,2007-08,178.0,881.0,SAS,0.497,Tim Duncan,19014188
Tim Duncan,Tim Duncan,558,.505,1105,0,.000,2,264.0,32.0,126.0,599.0,558,.504,1107,334.0,0.692,483.0,75,75,NBA,2524,201.0,173.0,1450.0,Tim Duncan,C,38.0,2008-09,165.0,800.0,SAS,0.504,Tim Duncan,20598704
Tim Duncan,Tim Duncan,559,.522,1071,2,.182,11,246.0,33.0,117.0,567.0,561,.518,1082,271.0,0.725,374.0,78,77,NBA,2438,221.0,152.0,1395.0,Tim Duncan,C,45.0,2009-10,140.0,788.0,SAS,0.519,Tim Duncan,22183220
Tim Duncan,Tim Duncan,419,.502,834,0,.000,4,203.0,34.0,146.0,509.0,419,.500,838,184.0,0.716,257.0,76,76,NBA,2156,169.0,119.0,1022.0,Tim Duncan,C,50.0,2010-11,122.0,678.0,SAS,0.5,Tim Duncan,18700000
Tim Duncan,Tim Duncan,361,.495,729,0,.000,4,132.0,35.0,88.0,410.0,361,.492,733,173.0,0.695,249.0,58,58,NBA,1634,110.0,98.0,895.0,Tim Duncan,C,38.0,2011-12,97.0,520.0,SAS,0.492,Tim Duncan,21164619
Tim Duncan,Tim Duncan,488,.504,969,2,.286,7,184.0,36.0,183.0,562.0,490,.502,976,245.0,0.817,300.0,69,69,NBA,2078,124.0,117.0,1227.0,Tim Duncan,C,50.0,2012-13,147.0,686.0,SAS,0.503,Tim Duncan,9638554
Tim Duncan,Tim Duncan,444,.493,901,0,.000,5,220.0,37.0,139.0,563.0,444,.490,906,231.0,0.731,316.0,74,74,NBA,2158,158.0,134.0,1119.0,Tim Duncan,C,43.0,2013-14,159.0,721.0,SAS,0.49,Tim Duncan,10361446
Tim Duncan,Tim Duncan,417,.514,812,2,.286,7,230.0,38.0,151.0,534.0,419,.512,819,230.0,0.74,311.0,77,77,NBA,2227,170.0,165.0,1070.0,Tim Duncan,PF,63.0,2014-15,131.0,704.0,SAS,0.513,Tim Duncan,10000000
Mike Dunleavy,Mike Dunleavy,116,.434,267,52,.347,150,106.0,22.0,19.0,148.0,168,.403,417,78.0,0.78,100.0,82,3,NBA,1305,66.0,120.0,466.0,Mike Dunleavy,SF,53.0,2002-03,86.0,214.0,GSW,0.465,Mike Dunleavy,3100080
Mike Dunleavy,Mike Dunleavy,229,.491,466,94,.370,254,220.0,23.0,13.0,355.0,323,.449,720,137.0,0.741,185.0,75,69,NBA,2336,87.0,169.0,877.0,Mike Dunleavy,SF,68.0,2003-04,143.0,442.0,GSW,0.514,Mike Dunleavy,3332520
Mike Dunleavy,Mike Dunleavy,301,.479,629,107,.388,276,203.0,24.0,26.0,338.0,408,.451,905,134.0,0.779,172.0,79,79,NBA,2570,97.0,198.0,1057.0,Mike Dunleavy,SF,79.0,2004-05,132.0,435.0,GSW,0.51,Mike Dunleavy,3565080
Mike Dunleavy,Mike Dunleavy,257,.462,556,74,.285,260,237.0,25.0,32.0,321.0,331,.406,816,196.0,0.778,252.0,81,68,NBA,2578,78.0,199.0,932.0,Mike Dunleavy,SF,60.0,2005-06,120.0,399.0,GSW,0.451,Mike Dunleavy,4506261
Mike Dunleavy,Mike Dunleavy,314,.502,626,70,.313,224,228.0,26.0,22.0,347.0,384,.452,850,211.0,0.784,269.0,82,49,NBA,2580,84.0,203.0,1049.0,Mike Dunleavy,SG-PF,84.0,2006-07,149.0,431.0,TOT,0.493,Mike Dunleavy,7438016
Mike Dunleavy,Mike Dunleavy,130,.489,266,36,.346,104,117.0,26.0,12.0,147.0,166,.449,370,78.0,0.772,101.0,39,6,NBA,1051,40.0,83.0,446.0,Mike Dunleavy,PF,38.0,2006-07,71.0,187.0,GSW,0.497,Mike Dunleavy,7438016
Mike Dunleavy,Mike Dunleavy,184,.511,360,34,.283,120,111.0,26.0,10.0,200.0,218,.454,480,133.0,0.792,168.0,43,43,NBA,1529,44.0,120.0,603.0,Mike Dunleavy,SG,46.0,2006-07,78.0,244.0,IND,0.49,Mike Dunleavy,7438016
Mike Dunleavy,Mike Dunleavy,367,.504,728,165,.424,389,288.0,27.0,31.0,365.0,532,.476,1117,336.0,0.834,403.0,82,82,NBA,2953,59.0,208.0,1565.0,Mike Dunleavy,SG,86.0,2007-08,190.0,424.0,IND,0.55,Mike Dunleavy,8219008
Mike Dunleavy,Mike Dunleavy,61,.430,142,32,.356,90,44.0,28.0,9.0,54.0,93,.401,232,53.0,0.815,65.0,18,14,NBA,495,14.0,36.0,271.0,Mike Dunleavy,SG,12.0,2008-09,38.0,68.0,IND,0.47,Mike Dunleavy,9000000
Mike Dunleavy,Mike Dunleavy,154,.478,322,75,.318,236,103.0,29.0,15.0,211.0,229,.410,558,133.0,0.842,158.0,67,15,NBA,1486,25.0,105.0,666.0,Mike Dunleavy,SF,38.0,2009-10,72.0,236.0,IND,0.478,Mike Dunleavy,9780992
Mike Dunleavy,Mike Dunleavy,138,.519,266,102,.402,254,105.0,30.0,30.0,248.0,240,.462,520,100.0,0.8,125.0,61,44,NBA,1683,28.0,107.0,682.0,Mike Dunleavy,SG,40.0,2010-11,69.0,276.0,IND,0.56,Mike Dunleavy,10561984
Mike Dunleavy,Mike Dunleavy,156,.527,296,83,.399,208,117.0,31.0,8.0,175.0,239,.474,504,116.0,0.811,143.0,55,3,NBA,1445,29.0,87.0,677.0,Mike Dunleavy,SF,28.0,2011-12,58.0,204.0,MIL,0.557,Mike Dunleavy,3750000
Mike Dunleavy,Mike Dunleavy,148,.455,325,128,.428,299,145.0,32.0,35.0,260.0,276,.442,624,105.0,0.82,128.0,75,3,NBA,1943,31.0,135.0,785.0,Mike Dunleavy,SF,39.0,2012-13,90.0,291.0,MIL,0.545,Mike Dunleavy,3750000
Mike Dunleavy,Mike Dunleavy,210,.467,450,123,.380,324,186.0,33.0,46.0,299.0,333,.430,774,140.0,0.854,164.0,82,61,NBA,2584,46.0,163.0,929.0,Mike Dunleavy,SF,64.0,2013-14,108.0,345.0,CHI,0.51,Mike Dunleavy,3183000
Mike Dunleavy,Mike Dunleavy,102,.468,218,107,.407,263,114.0,34.0,21.0,220.0,209,.435,481,70.0,0.805,87.0,63,63,NBA,1838,28.0,123.0,595.0,Mike Dunleavy,SF,39.0,2014-15,60.0,248.0,CHI,0.546,Mike Dunleavy,3326235
Kevin Durant,Kevin Durant,528,.455,1161,59,.288,205,192.0,19.0,75.0,278.0,587,.430,1366,391.0,0.873,448.0,80,80,NBA,2768,70.0,122.0,1624.0,Kevin Durant,SG,78.0,2007-08,232.0,348.0,SEA,0.451,Kevin Durant,4171200
Kevin Durant,Kevin Durant,564,.486,1160,97,.422,230,205.0,20.0,53.0,405.0,661,.476,1390,452.0,0.863,524.0,74,74,NBA,2885,77.0,134.0,1871.0,Kevin Durant,SF,96.0,2008-09,225.0,482.0,OKC,0.51,Kevin Durant,4484040
Kevin Durant,Kevin Durant,666,.506,1317,128,.365,351,231.0,21.0,84.0,518.0,794,.476,1668,756.0,0.9,840.0,82,82,NBA,3239,105.0,171.0,2472.0,Kevin Durant,SF,112.0,2009-10,271.0,623.0,OKC,0.514,Kevin Durant,4796880
Kevin Durant,Kevin Durant,566,.504,1124,145,.350,414,214.0,22.0,76.0,476.0,711,.462,1538,594.0,0.88,675.0,78,78,NBA,3038,57.0,159.0,2161.0,Kevin Durant,SF,88.0,2010-11,218.0,533.0,OKC,0.509,Kevin Durant,6053663
Kevin Durant,Kevin Durant,510,.535,953,133,.387,344,231.0,23.0,77.0,487.0,643,.496,1297,431.0,0.86,501.0,66,66,NBA,2546,40.0,133.0,1850.0,Kevin Durant,SF,88.0,2011-12,248.0,527.0,OKC,0.547,Kevin Durant,15506632
Kevin Durant,Kevin Durant,592,.539,1099,139,.416,334,374.0,24.0,105.0,594.0,731,.510,1433,679.0,0.905,750.0,81,81,NBA,3119,46.0,143.0,2280.0,Kevin Durant,SF,116.0,2012-13,280.0,640.0,OKC,0.559,Kevin Durant,16669630
Kevin Durant,Kevin Durant,657,.549,1197,192,.391,491,445.0,25.0,59.0,540.0,849,.503,1688,703.0,0.873,805.0,81,81,NBA,3122,58.0,174.0,2593.0,Kevin Durant,SF,103.0,2013-14,285.0,598.0,OKC,0.56,Kevin Durant,17832627
Kevin Durant,Kevin Durant,174,.565,308,64,.403,159,110.0,26.0,25.0,162.0,238,.510,467,146.0,0.854,171.0,27,27,NBA,913,16.0,40.0,686.0,Kevin Durant,SF,24.0,2014-15,74.0,178.0,OKC,0.578,Kevin Durant,18995624
Cleanthony Early,Cleanthony Early,54,.415,130,22,.262,84,36.0,23.0,12.0,75.0,76,.355,214,36.0,0.75,48.0,39,7,NBA,647,22.0,57.0,210.0,Cleanthony Early,SF,24.0,2014-15,40.0,97.0,NYK,0.407,Cleanthony Early,507336
Devin Ebanks,Devin Ebanks,19,.413,46,2,.400,5,2.0,21.0,5.0,12.0,21,.412,51,18.0,0.783,23.0,20,0,NBA,118,15.0,7.0,62.0,Devin Ebanks,SG,4.0,2010-11,6.0,27.0,LAL,0.431,Devin Ebanks,473604
Devin Ebanks,Devin Ebanks,37,.463,80,0,.000,9,12.0,22.0,6.0,28.0,37,.416,89,23.0,0.657,35.0,24,12,NBA,396,26.0,26.0,97.0,Devin Ebanks,SG,11.0,2011-12,18.0,54.0,LAL,0.416,Devin Ebanks,762195
Devin Ebanks,Devin Ebanks,18,.353,51,6,.273,22,10.0,23.0,1.0,31.0,24,.329,73,11.0,0.786,14.0,19,3,NBA,197,10.0,23.0,65.0,Devin Ebanks,SF,3.0,2012-13,11.0,41.0,LAL,0.37,Devin Ebanks,1054389
Wayne Ellington,Wayne Ellington,126,.441,286,64,.395,162,74.0,22.0,5.0,126.0,190,.424,448,61.0,0.871,70.0,76,1,NBA,1384,33.0,72.0,505.0,Wayne Ellington,SG,20.0,2009-10,74.0,159.0,MIN,0.496,Wayne Ellington,1003560
Wayne Ellington,Wayne Ellington,112,.406,276,48,.397,121,72.0,23.0,3.0,82.0,160,.403,397,42.0,0.792,53.0,62,8,NBA,1181,26.0,85.0,410.0,Wayne Ellington,SG,28.0,2010-11,53.0,108.0,MIN,0.463,Wayne Ellington,1078800
Wayne Ellington,Wayne Ellington,87,.448,194,35,.324,108,33.0,24.0,10.0,85.0,122,.404,302,32.0,0.8,40.0,51,4,NBA,973,14.0,56.0,311.0,Wayne Ellington,SG,26.0,2011-12,26.0,99.0,MIN,0.462,Wayne Ellington,1154040
Wayne Ellington,Wayne Ellington,132,.457,289,94,.392,240,104.0,25.0,3.0,141.0,226,.427,529,68.0,0.907,75.0,78,21,NBA,1661,25.0,81.0,614.0,Wayne Ellington,SG,45.0,2012-13,57.0,166.0,TOT,0.516,Wayne Ellington,2083042
Wayne Ellington,Wayne Ellington,40,.392,102,41,.423,97,42.0,25.0,1.0,47.0,81,.407,199,15.0,0.938,16.0,40,4,NBA,676,5.0,38.0,218.0,Wayne Ellington,SG,16.0,2012-13,24.0,52.0,MEM,0.51,Wayne Ellington,2083042
Wayne Ellington,Wayne Ellington,92,.492,187,53,.371,143,62.0,25.0,2.0,94.0,145,.439,330,53.0,0.898,59.0,38,17,NBA,985,20.0,43.0,396.0,Wayne Ellington,SG,29.0,2012-13,33.0,114.0,CLE,0.52,Wayne Ellington,2083042
Wayne Ellington,Wayne Ellington,30,.448,67,25,.424,59,19.0,26.0,2.0,35.0,55,.437,126,10.0,0.909,11.0,45,1,NBA,393,8.0,33.0,145.0,Wayne Ellington,SG,16.0,2013-14,11.0,43.0,DAL,0.536,Wayne Ellington,2652000
Wayne Ellington,Wayne Ellington,164,.439,374,90,.370,243,105.0,27.0,2.0,179.0,254,.412,617,52.0,0.813,64.0,65,36,NBA,1675,31.0,77.0,650.0,Wayne Ellington,SG,33.0,2014-15,50.0,210.0,LAL,0.485,Wayne Ellington,1063384
Wayne Ellington,Wayne Ellington,164,.439,374,90,.370,243,105.0,27.0,2.0,179.0,254,.412,617,52.0,0.813,64.0,65,36,NBA,1675,31.0,77.0,650.0,Wayne Ellington,SG,33.0,2014-15,50.0,210.0,LAL,0.485,Wayne Ellington,923780
